Ticker,Name,Sector
6479,MINEBEA MITSUMI INC,Industrials
7701,SHIMADZU CORP,Information Technology
4704,TREND MICRO INC,Information Technology
6965,HAMAMATSU PHOTONICS,Information Technology
3659,NEXON LTD,Information Technology
7261,MAZDA MOTOR CORP,Consumer Discretionary
4612,NIPPON PAINT HOLDINGS LTD,Materials
8015,TOYOTA TSUSHO CORP,Industrials
9041,KINTETSU GROUP HOLDINGS LTD,Industrials
4684,OBIC LTD,Information Technology
9501,TOKYO ELECTRIC POWER HOLDINGS INC,Utilities
1812,KAJIMA CORP,Industrials
1802,OBAYASHI CORP,Industrials
5332,TOTO LTD,Industrials
8952,JAPAN REAL ESTATE INVESTMENT TRUST,Real Estate
8473,SBI HOLDINGS INC,Financials
4751,CYBER AGENT INC,Consumer Discretionary
4307,NOMURA RESEARCH INSTITUTE LTD,Information Technology
4755,RAKUTEN INC,Consumer Discretionary
4536,SANTEN PHARMACEUTICAL LTD,Health Care
1803,SHIMIZU CORP,Industrials
7752,RICOH LTD,Information Technology
9008,KEIO CORP,Industrials
9001,TOBU RAILWAY LTD,Industrials
5938,LIXIL GROUP CORP,Industrials
9007,ODAKYU ELECTRIC RAILWAY LTD,Industrials
7532,DON QUIJOTE HOLDINGS LTD,Consumer Discretionary
3462,NOMURA REAL ESTATE MASTER FUND REI,Real Estate
4922,KOSE CORP,Consumer Staples
2587,SUNTORY BEVERAGE & FOOD LTD,Consumer Staples
7211,MITSUBISHI MOTORS CORP,Consumer Discretionary
6770,ALPS ELECTRIC LTD,Information Technology
7731,NIKON CORP,Consumer Discretionary
4021,NISSAN CHEMICAL CORP,Materials
7186,CONCORDIA FINANCIAL GROUP LTD,Financials
7013,IHI CORP,Industrials
9506,TOHOKU ELECTRIC POWER INC,Utilities
9062,NIPPON EXPRESS LTD,Industrials
5019,IDEMITSU KOSAN LTD,Energy
4183,MITSUI CHEMICALS INC,Materials
7912,DAI NIPPON PRINTING LTD,Industrials
3436,SUMCO CORP,Information Technology
8953,JAPAN RETAIL FUND INVESTMENT REIT,Real Estate
6465,HOSHIZAKI CORP,Industrials
6146,DISCO CORP,Information Technology
3391,TSURUHA HOLDINGS INC,Consumer Staples
8960,UNITED URBAN INVESTMENT REIT CORP,Real Estate
6806,HIROSE ELECTRIC LTD,Information Technology
6724,SEIKO EPSON CORP,Information Technology
3861,OJI HOLDINGS CORP,Materials
9142,KYUSHU RAILWAY,Industrials
6448,BROTHER INDUSTRIES LTD,Information Technology
2784,ALFRESA HOLDINGS CORP,Health Care
7012,KAWASAKI HEAVY INDUSTRIES LTD,Industrials
2579,COCA-COLA BOTTLERS JAPAN HOLDINGS,Consumer Staples
4689,YAHOO JAPAN CORP,Information Technology
4151,KYOWA HAKKO KIRIN LTD,Health Care
7182,JAPAN POST BANK LTD,Financials
4581,TAISHO PHARMACEUTICAL HOLDINGS LTD,Health Care
9048,NAGOYA RAILROAD LTD,Industrials
5334,NGK SPARK PLUG LTD,Consumer Discretionary
8304,AOZORA BANK LTD,Financials
9766,KONAMI HOLDINGS CORP,Information Technology
4732,USS LTD,Consumer Discretionary
9201,JAPAN AIRLINES LTD,Industrials
3405,KURARAY LTD,Materials
9202,ANA HOLDINGS INC,Industrials
4042,TOSOH CORP,Materials
6383,DAIFUKU LTD,Industrials
9513,ELECTRIC POWER DEVELOPMENT LTD,Utilities
4912,LION CORP,Consumer Staples
4508,MITSUBISHI TANABE PHARMA CORP,Health Care
6841,YOKOGAWA ELECTRIC CORP,Information Technology
4613,KANSAI PAINT LTD,Materials
8355,SHIZUOKA BANK LTD,Financials
5333,NGK INSULATORS LTD,Industrials
3283,NIPPON PROLOGIS REIT INC,Real Estate
9508,KYUSHU ELECTRIC POWER INC,Utilities
6302,SUMITOMO HEAVY INDUSTRIES LTD,Industrials
8354,FUKUOKA FINANCIAL GROUP INC,Financials
6923,STANLEY ELECTRIC LTD,Consumer Discretionary
9009,KEISEI ELECTRIC RAILWAY LTD,Industrials
8331,CHIBA BANK LTD,Financials
4902,KONICA MINOLTA INC,Information Technology
2002,NISSHIN SEIFUN GROUP INC,Consumer Staples
8252,MARUI GROUP LTD,Consumer Discretionary
6305,HITACHI CONSTRUCTION MACHINERY LTD,Industrials
2897,NISSIN FOODS HOLDINGS LTD,Consumer Staples
9024,SEIBU HOLDINGS INC,Industrials
8984,DAIWA HOUSE REIT CORP,Real Estate
3099,ISETAN MITSUKOSHI HOLDINGS LTD,Consumer Discretionary
6753,SHARP CORP,Consumer Discretionary
6471,NSK LTD,Industrials
4530,HISAMITSU PHARMACEUTICAL INC,Health Care
2702,MCDONALDS HOLDINGS (JAPAN) LTD,Consumer Discretionary
9006,KEIKYU CORP,Industrials
4182,MITSUBISHI GAS CHEMICAL INC,Materials
5233,TAIHEIYO CEMENT CORP,Materials
3938,LINE CORP,Information Technology
7911,TOPPAN PRINTING LTD,Industrials
2433,HAKUHODO DY HOLDINGS INC,Consumer Discretionary
1963,JGC CORP,Industrials
2371,KAKAKU.COM INC,Information Technology
3401,TEIJIN LTD,Materials
9504,CHUGOKU ELECTRIC POWER INC,Utilities
4967,KOBAYASHI PHARMACEUTICAL LTD,Consumer Staples
6268,NABTESCO CORP,Industrials
4506,DAINIPPON SUMITOMO PHARMA LTD,Health Care
9602,TOHO (TOKYO) LTD,Consumer Discretionary
2282,NH FOODS LTD,Consumer Staples
6504,FUJI ELECTRIC LTD,Industrials
3086,J.FRONT RETAILING LTD,Consumer Discretionary
4185,JSR CORP,Materials
